Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Pompei, IX 8;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;1;;;;;;;;;;;6;;;;;;;1;;;1;4;;;;;389;;;;;;;;;;;
Vada Sabatia, layer V;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;1;2;;;;1;;;;;;;;;;;;;;;8;1;2;2;107;9;;1;;1;5;6;;;;;2;;;;;
Vada Sabatia, layers III-IV;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;2;3;;;;;2;1;1;;;;1;;;;1;;;;3;2;2;;99;7;;2;;;3;3;1;;;;3;4;;;;
Finale ligure, Pieve del Finale;Roman;Liguria;Northern Italy;R;Rural;Coast;1.0000;1;1;;1;;;;;;;;;;;513;;;;;;12;1;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 1st c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;1.0000;1;1;;1;;;;;;;;8;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 2nd-3rd c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;0.5000;2;3;;;1;;;;;;;8;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;
Mezzocorona, loc. Drei Canè;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Rural;Mountain;0.1429;-1;5;61;22;4;;53;;27;3;;62;8;;3;8;11;1;;;10;2;;;;144;;3;;;;;;;;;;1;;1;;
Bergamo, Palazzo del Podestà;Roman;Lombardia;Northern Italy;R;Urban;Hilltop;0.3333;-1;1;61;;5;4;15;6;;2086;;26;;;49;;173;;;;58;;1;;;;;;;;;;;;;;;;;;;
Ventimiglia, sito di Albintimilium;Roman;Liguria;Northern Italy;R;Urban;Coast;0.5000;2;3;;;;;;;;;;;;;1;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Case Nuove, Cinigiano, Phase 1.2;Roman;Toscana;Central Italy;R;Rural;Hill;1.0000;1;1;1;;;;1;;;;;2;5;;;;;;;;;;;;;10;;;;;9;;;;;;;;;;;
Aquileia, ex essiccatoio nord, 1st c. BCE - 1st c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;R;Urban;Coast;0.3333;-1;1;7;103;94;1;1;;5;;;289;;;;;1;;;22;28;20;;;383;14;;;;;2;1;;;;;8;;;8;4;
Padova, Borgomagno;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;;;;49;;;;;10;;;;;22;1;;;;60;19;;;;;;;;;;;;;;;;
Padova, Banca Etica;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;;;;1;;;;;;;;;;;;;;;21;1;;2;;12;15;;;;;;;;;;;
Verona, Porta Palio e Spianà;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;16;;;;;;1;4;;50;;;;2;;;;39;;;;;7;9;;;;;;;;;;;1;;;;;
Nave;Roman;Lombardia;Northern Italy;R;Necropolis;Mountain;0.2000;-1;3;22;;;;15;;;;;42;5;;36;;1;;;39;1;19;;1;3;5;;;1;1;12;;;;;;;;;;;
Manerbio, Cascina Trebeschi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;1;;;5;;46;;2;;;;;;2;56;9;;;;10;;2;;1;;;;;;;1;;;;1;
Bergamo, via degli Orti;Roman;Lombardia;Northern Italy;R;Necropolis;Hill;0.2000;-1;3;;;;;;;;;;;;;;;;;;1;2;5;;;;2;;;;;1;;;;;;1;;;;;
Mariano Comense, via T. Grossi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;1;;;;;1;;1;;;;;;;;;4;1;10;;;;;2;;;;;;;;;;;;;;
Como, via Benzi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;;;;;1;;;;;;;;2;;;;;;8;1;;;9;15;;1;;;1;;;;;;;;;;;
Albenga, via Pontelungo;Roman;Liguria;Northern Italy;R;Necropolis;Coast;0.2000;-1;3;1;6;;;1;;;;;12;;;;;;;;1;1;653;;;225;21;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 1;Roman;Basilicata;Southern Italy;R;Rural site, villa;Mountain;0.3333;1;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brescia, Capitolium, Flavian age;Roman;Lombardia;Northern Italy;R;Religious;Plain;1.0000;1;1;;;;;;4;;;;14;1;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;
Brescia, S. Giulia - Roman domus;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.2000;1;5;3;;;;2;;;;;3;1;;;;;;;4;24;;;;;1;;;;;1;;;;;;;;;;;
Boggiovara, pozzo romano;Roman;Emilia-Romagna;Northern Italy;R;Rural;Plain;0.2500;-2;1;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Modena, ex Cinema Capitol, Imperial domus phase;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;1;1;;;2;;;;;2;;;;;;;;;1;;;;44;2;;;;;1;;;;;;;13;;;;
Modena, ex Cinema Capitol, post-domus phase;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;2;3;;1;1;;;;;;;;;;;;;;;;;;;;51;2;;;;;;;;;;;;1;;;;
Modena, viale Amendola, settling tank;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;;;;;;;;;;;;;;;;;;;2;1;;;7;30;;;1;;;;;;;1;;15;;17;;
Modena, viale Amendola, channel acqueduct fill;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;;;;;;;;;;;;;;;;;;;3;;;;2;11;;;;;;;;;1;;;;;1;2;
Modena, ex Manifattura Tabacchi, paleosol;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;32;;33;;
Calcinate, loc. Villa Passa, Tomb 1;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;1.0000;1;1;1;4;;;6;;;;;6;1;;1;;;;;2;;;;;1;;;;;;;;;;;;;;;;;
Calcinate, loc. Villa Passa, Tombs 3-4;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.5000;1;2;2;;;1;;;;;;29;2;;32;;;;;4;20;12;;;;;;;;;;;;;;;;;;;;
Calcinate, loc. Campo Musna (US 168);Roman;Lombardia;Northern Italy;R;Rural site, villa;Plain;0.1250;-1;6;1;;2;;;;;;;15;;;;;;;;;108;;;;;10;;;;;;;;;;;;;;;;
San Lorenzo di Sebato, loc. Pichlweise;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Necropolis;Mountain;0.2500;2;5;;2;1;;4;;1;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modena, Cassa di Risparmio;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;1.0000;1;1;21;26;14;1;23;2;;;;43;2;;2;;2;1;;;594;142;;5;8692;5065;5;118;11;9;865;5229;8;494;7;264;5;51;218;250;749;
Pompei, VI, 1, Vicolo di Narciso, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;1;;;1;;;;;1;1;;0;;;;;;;;;;22;4;;;;;3;;;;;;;;;;;
Pompei, VI, 1, Vicolo di Narciso, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;1;;;;2;;1;;;2;2;;;1;2;;;;5;2;;1;48;141;1;2;;;6;;;;;;;;;;;
Pompei, VI, 1, via Consolare, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Pompei, VI, 1, via Consolare, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 1, Domus of Triclinium;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;1;;3;2;;5;;;;;5;;;;3;;;13;15101;95;5;;;;4;;;;;;3;;;;;
Pompei, VI, 1, 19, well, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 19, well, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;;;;1;;;;;1;;;;;;;;;;;;;76;;;;;;5;;;;;;;;;;;
Pompei, VI, 1, 17, Bar of Acisculus, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;;;10;;;2;2;;;;;;;;;;;;15;24;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 17, Bar of Acisculus, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;1;;;;;;;1;;;;;1;1;;;;;;;;;1;3;;;;;9;;;;;;;;;;;
Pompei, VI, 1, 18, Bar of Phoebus, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;3;;;;;
Pompei, VI, 1, 13, Shrine, 1st c. BCE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;-1;-1;25;10;;;4;;39;1;;53;18;;3;7;10;;;;4;;;4;508;48;3;;;;69;;;;;;;;;;;
Pompei, VI, 1, 13, Shrine, 1st c. CE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;1;1;2;2;;;3;;23;2;;66;3;1;5;15;19;;;;4;4;;;70;51;1;2;;;91;;;;;;;;;;;
Pompei, VI, 1, 14, Soap factory, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;1;;;3;;9;2;1;;;12;;;42;2;4;;;791;37;;10;;;35;;;;;;;;;;;
Pompei, VI, 1, 14, Soap factory, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;;;;;;1;;;4;;;1;;1;;;;;1;;;;37;;;;;7;;;;;;1;;;;;
Pompei, VI, 1, 7, House of the Vestals, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;6;;2;;;4;3;;2;;6;;;;3;3;;;13;22;1;;;;6;;;;;;;;;;;
Pompei, VI, 1, 7, House of the Vestals, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;1;;;;4;;3;;;7;6;1;;5;11;;;;10;4;;;1705;59;1;7;;;15;;1;;;;;;;;;
Pompei, VI, 1, 10, House of the Surgeon, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;1;1;;;;2;;;4;2;;;1;5;;;;1;;;;2;6;;;;;8;;;;;;;;;;;
Pompei, VI, 1, 10, House of the Surgeon, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;3;4;;;;;2;3;;21;7;;;2;7;;;;4;;;;24;35;2;;;;48;;;;;;;;;;;
Pompei, VI, 1, 4, Inn, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;3;1;;;;;;1;;4;;;;8;;;;;4;2;;;1582;48;;;;;120;;;;;;;;;;;
Pompei, VI, 1, 4, Inn, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;2;;;;5;1;;;;5;;;;7;39;;;;1;;;;3;24;1;1;;;24;;;;;;;;;;;
Pompei, VI, 1, 4, Inn Bar, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;;;;;;2;;;;;;;;;1;;;;32;1;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 4, Inn Bar, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;;;;1;;;;;3;;;;;3;;;;;;;;56;1;;2;;;2;;;;;;;;;;;
Pompei, VI, 1, 4, Vestals Bar, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;;;;;;;;;;1;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;;;
Pompei, VI, 1, 4, Vestals Bar, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;;1;;;;;;;;3;1;1;;3;6;;;;3;1;;;20;21;;;;;2;;;;;;1;;;;;
Teglio, Combolo, 1st c. BCE- 2nd c. CE;Roman;Lombardia;Northern Italy;R;Urban;Mountain;0.2500;-1;2;;;;;;;;;;;;;3;;;;;;1;17;;;;;;;;;;;;;;;;;;;;
Acquachiara, Trench 10000, Early Imperial Phase;Roman;Abruzzo;Southern Italy;R;Rural;Mountain;0.5000;1;2;5;;;;2;;;;;3;;;;;2;;;;;;;;89;52;;;;114;;;;;;;;;;;;
Nave;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;1.0000;1;1;;;;;21;;;;;54;5;;36;;;;;39;1;19;;1;2;4;;;;1;10;;;;;;;;;;;8
Casazza, Bergamo;Roman;Lombardia;Northern Italy;R;Rural;Mountain;0.2000;1;5;1;;;;116;;;;;2;;;7;;;;;1;22;4;;;;2;;;;;;;;;;;1;;;;;
Marzuolo, Phase 2;Roman;Toscana;Central Italy;R;Rural;Plain;1.0000;1;1;;7;;;21;;;;;12;4;;1;;;;;4;3;;;;;46;;;;;3;;;1;;;;;;;;
Marzuolo, Phase 3;Roman;Toscana;Central Italy;R;Rural;Plain;0.5000;2;3;2;;;;;;;;;8;;;;;;;;5;1;;;;;14;;1;;;2;;;;;;;;;1;;
Herculaneum, Cardo V sewer;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;1;2;1;1;3;;52;35;7;207;18;;3;;6;;;;6;3;;;1000;210;4;;;4;686;;;;;;12;1;;16;;2
Cremona, piazza Marconi, wastepit;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.5000;-2;-1;;3;;;;;18;16;;3;;;;;;;;;1;1;;;2608;1147;;;;5;6;1;;1526;12;;9;;2;416;3;
Cremona, piazza Marconi, Ninfeo domus;Roman;Lombardia;Northern Italy;R;Urban;Plain;1.0000;1;1;1682;;2;1;;1;;;;22;6;10;;162;;9;;;3;;;;;;;;;;;;;;;;;;;;;25
Cremona, piazza Marconi, bone working craft area;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.5000;-2;-1;;9;3;;;;;2;;156;;;;;;;;;13;11;;1;2;5;;;;;5;;;1;;;;;;1;;
Vittorio Veneto, loc. San Rocco, period I;Roman;Veneto;Northern Italy;R;Urban;Mountain;0.5000;-2;-1;2;291;14;;1;;;7;;94;6;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Vagnari II, Phase 2;Roman;Puglia;Southern Italy;R;Rural;Hill;1.0000;1;1;3;1;;;6;;;;;16;;;;;5;2;;10;;;;;;;;;;;4;;;;;;;;;;;
Vagnari II, Phase 3;Roman;Puglia;Southern Italy;R;Rural;Hill;1.0000;2;2;7;;3;;4;;;;;11;;;;;;2;;3;;;;;;;;;;;2;;;;;;4;;;;;
Vagnari II, Phase 4;Roman;Puglia;Southern Italy;R;Rural;Hill;0.5000;2;3;9;;3;3;5;;;;;7;;;;;2;2;;10;;;;;;;;;;;3;;;;;;1;;;;;
Modena, Novi Sad - landfill;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;;;;;1;1;;;;1;;;;;1;;;;4;12;;;115;101;2;44;;1;11;1;;4;;8;;5;;;7;1
Pantanello, sanctuary basin, abandonment phase, 2nd c. - 1st c. BCE;Roman;Basilicata;Southern Italy;R;Rural;Coast;0.5000;-2;-1;1;2;;;13;;9;;;14;;;;;;;;;;;;;2119;334;;;;;184;;;;;;;;;;;
Aquileia, Canale Anfora, 1st-3rd c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;R;Urban;Coast;0.3333;1;3;2;1;;;3;;17;20;;2565;;;;;;;;;205;17;22;9;760;208;6;4;2;1;21;1;;;;6;40;;6;15;2;
Calvatone-Bedriacum, 1st c. BCE - 1st c. CE;Roman;Lombardia;Northern Italy;R;Urban;Plain;1.0000;1;1;292;6;1;;1086;;2;;;15;94;;14;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Pompei, I 9, House of Amarantus, 1st c. BCE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;-1;-1;;;;;;;;;;1;1;;1;;;;;1;1;;;;1;1;;;;;1;;;;;;;;;;;
Pompei, I 9, House of Amarantus, 1st c. CE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;1;1;;1;;;1;;1;1;;1;;;;;;;;1;1;1;;;1;1;;1;;;1;;;;;;1;;;;;1
Settefinestre, Phase 1;Roman;Toscana;Central Italy;R;Rural site, villa;Hill;0.5000;-1;1;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Settefinestre, Phase 2;Roman;Toscana;Central Italy;R;Rural site, villa;Hill;0.5000;2;3;;1;;1;;;;;;;1;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;
Desenzano, loc. Faustinella;Late Roman;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;1;2;7;8;1;1;6;11;;103;1;;;;;;;;60;;;;;263;;;;;;;;2;;;;;;;;
Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Late Roman;Lombardia;Northern Italy;LR;Urban;Plain;0.2500;3;6;1;;;1;2;2;2;2;;1;;;1;2;;2;;;22;1;;;499;3583;;;;;;;576;1;;;297;2;;37;1;
Monte Barro;Goth;Lombardia;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;2017;;1;6;90;76;;5;;;3;;2;32;148;;;;73;18;510;;;16;;11;;;;10000;1;;;;;;;;;
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Domagnano;Goth;San Marino;Northern Italy;LR;Rural;Mountain;0.5000;5;6;1;;;;3;;;;;2;;;;;;;;;2;;;2;206;1595;;;1;1;250;;;;;;;;;;3;
Teglio, municipio;Late Roman;Lombardia;Northern Italy;LR;Urban;Mountain;0.5000;3;4;37;8;;;2;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teglio, via Roma;Early Medieval;Lombardia;Northern Italy;LR;Urban;Mountain;0.5000;5;6;;22;;;3;;;6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cislago;Late Roman;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.5000;4;5;8612;;;;;2556;;51;;16;14;13;177;2;;;;;;;16;;;2;;;;;;;;;;;;;;;;
Aquileia, insule quartieri nord;Early Medieval;Friuli-Venezia Giulia;Northern Italy;LR;Urban;Coast;0.5000;5;6;1;;;;;;;1;;5;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campi di Riva del Garda, Monte S. Martino;Early Medieval;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Urban;Mountain;0.3333;4;6;2;3;;1;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sirmione, via Antiche Mura;Early Medieval;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.5000;5;6;13;;;;;;90000;255600;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modena, via Nonantolana;Early Medieval;Emilia-Romagna;Northern Italy;LR;Rural;Plain;0.5000;5;6;8;;;82;;;50;;;18;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;
Vada Sabatia, layer II;Late Roman;Liguria;Northern Italy;LR;Rural site, villa;Coast;1.0000;3;3;1;1;;;1;1;;;;;;;1;;6;;;;12;1;8;1;748;3;;1;;2;2;20;1;;;1;5;188;;;;
Vada Sabatia, layer I;Late Roman;Liguria;Northern Italy;LR;Rural site, villa;Coast;0.5000;3;4;3;5;;;;;;;;;;;;;;;;;22;1;90;;460;37;;4;5;;4;8;16;;;;20;85;;;3;
Augusta Bagiennorum, 2nd-3rd c.;Roman;Piemonte;Northern Italy;LR;Urban;Plain;0.5000;2;3;;;1;;;;;;;8;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;
Mezzocorona, loc. Drei Canè;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Rural;Mountain;0.1429;-1;5;61;22;4;;53;;27;3;;62;8;;3;8;11;1;;;10;2;;;;144;;3;;;;;;;;;;1;;1;;
Ventimiglia, sito di Albintimilium;Roman;Liguria;Northern Italy;LR;Urban;Coast;0.5000;2;3;;;;;;;;;;;;;1;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Case Nuove, Cinigiano, Phase 1.3;Roman;Toscana;Central Italy;LR;Rural;Hill;1.0000;3;3;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;;;;;;
Case Nuove, Cinigiano, Phase 2;Late Roman;Toscana;Central Italy;LR;Rural;Hill;0.5000;4;5;7;4;6;;55;;;;;61;12;1;;1;;;;2;8;;;;;259;;;;;23;;;;;;;;;;;
Padova, Borgomagno;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;;;;;;;;49;;;;;10;;;;;22;1;;;;60;19;;;;;;;;;;;;;;;;
Padova, Banca Etica;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;;;;;;;;1;;;;;;;;;;;;;;;21;1;;2;;12;15;;;;;;;;;;;
Verona, Porta Palio e Spianà;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;16;;;;;;1;4;;50;;;;2;;;;39;;;;;7;9;;;;;;;;;;;1;;;;;
Nave;Roman;Lombardia;Northern Italy;LR;Necropolis;Mountain;0.2000;-1;3;22;;;;15;;;;;42;5;;36;;1;;;39;1;19;;1;3;5;;;1;1;12;;;;;;;;;;;
Manerbio, Cascina Trebeschi;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;;;;;1;;;5;;46;;2;;;;;;2;56;9;;;;10;;2;;1;;;;;;;1;;;;1;
Bergamo, via degli Orti;Roman;Lombardia;Northern Italy;LR;Necropolis;Hill;0.2000;-1;3;;;;;;;;;;;;;;;;;;1;2;5;;;;2;;;;;1;;;;;;1;;;;;
Mariano Comense, via T. Grossi;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;;;1;;;;;1;;1;;;;;;;;;4;1;10;;;;;2;;;;;;;;;;;;;;
Cerrione;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;2;;1;;;1;4;2;;8;5;;58;1;;;;117;113;579;140;6;76;279;1;3;12;3;;;;4;;;;;;;;
Albenga, via Pontelungo;Roman;Liguria;Northern Italy;LR;Necropolis;Coast;0.2000;-1;3;1;6;;;1;;;;;12;;;;;;;;1;1;653;;;225;21;;;;;;;;;;;;;;;;
Roma, Schola Praeconum;Late Roman;Lazio;Central Italy;LR;Urban;Plain;1.0000;5;5;1;2;;1;1;;;;;;;1;1;;;;;3;;;;;;1;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 1;Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;0.3333;1;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 2;Late Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;1.0000;4;4;;;;;;;;;;7;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 3B;Late Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;0.5000;5;6;2;;;;13;;;;;4;;1;;;;;;;;;;1;1;;;;;;;;;;;6;;1;;;;
Brescia, via Alberto Mario;Goth;Lombardia;Northern Italy;LR;Urban;Plain;0.5000;5;6;3;2;750;7;;62;21000;3;;;9;;16;;;;;;;;5;;;1;;;;;;;;;;;;;;;;
Brescia, S. Giulia - Roman domus;Roman;Lombardia;Northern Italy;LR;Urban;Plain;0.2000;1;5;3;;;;2;;;;;3;1;;;;;;;4;24;;;;;1;;;;;1;;;;;;;;;;;
