ID,Site,Region,Geography,Type,Culture/Influence
98,S. Maria in Cività, D85,Molise,Hilltop,Urban,Lombard
107,S. Giovanni di Ruoti, Phase 3A,Basilicata,Mountain,Monastery,Lombard
107,S. Giovanni di Ruoti, Phase 3B,Basilicata,Mountain,Monastery,Lombard
198,Salapia, area botteghe, US 2475,Puglia,Coast/Lagoon,Urban,Lombard
198,Salapia, area botteghe, US 2437,Puglia,Coast/Lagoon,Urban,Lombard
199,Salapia, area conceria, US 2054,Puglia,Coast/Lagoon,Urban,Lombard
199,Salapia, area conceria, US 2211-2217,Puglia,Coast/Lagoon,Urban,Lombard
199,Salapia, area conceria, 8th-9th c.,Puglia,Coast/Lagoon,Urban,Lombard
196,Faragola, wastepit 61,Puglia,Plain,Rural, villa,Lombard
196,Faragola, wastepit 66,Puglia,Plain,Rural, villa,Lombard
234,Colle Castellano, Phase 3-4,Molise,Hill,Urban,Lombard
177,San Vincenzo al Volturno, kitchen area,Molise,Hill,Monastery,Lombard
101,Supersano, loc. Scorpo,Puglia,Plain,Rural,Byzantine
250,Apigliano, 9th-10th c., pits,Puglia,Plain,Rural,Byzantine
250,Apigliano, 10th-11th c., pits,Puglia,Plain,Rural,Byzantine
196,Faragola, granary A7,Puglia,Plain,Rural, villa,Lombard
196,Faragola, granary A8,Puglia,Plain,Rural, villa,Lombard